,Symbol,Entry,Exit,Gains
0,AACQW,2.27,2.41,6.28
1,ADVWW,2.02,2.14,6.28
2,AEACW,0.68,0.73,7.85
3,AINC,9.07,9.82,8.34
4,ALACR,0.49,0.57,16.13
5,AMRX,6.35,6.74,6.17
6,ANIX,5.85,6.28,7.36
7,APPHW,8.97,9.51,6.09
8,ARKR,20.65,22.66,9.76
9,AZRX,1.57,1.68,6.81
10,BCTXW,1.14,1.23,7.99
11,BEKE,62.45,67.8,8.56
12,BGI,4.19,4.73,12.65
13,BIOX,10.82,14.07,30.08
14,BRLIR,0.34,0.36,6.63
15,BSQR,5.14,5.59,8.72
16,CANF,2.5,3.18,27.29
17,CDXC,12.03,13.37,11.19
18,CFRX,6.28,6.7,6.68
19,CLLS,21.18,22.49,6.23
20,CLPS,5.34,5.77,8.13
21,CSBR,12.99,13.85,6.58
22,CUEN,3.81,4.08,7.17
23,CYCC,7.9,8.48,7.21
24,CYTH,11.1,12.41,11.79
25,DFHT,13.29,14.19,6.79
26,DMTK,55.21,58.7,6.32
27,DS,3.21,3.44,7.1
28,DTEA,4.18,4.49,7.29
29,ENZ,3.4,4.09,20.59
30,EVLO,12.75,13.73,7.64
31,GME,204.46,245.7,20.17
32,GRNVR,0.4,0.54,33.95
33,HCCCW,0.71,0.76,7.26
34,HIMX,13.14,13.94,6.15
35,IMAX,21.31,22.64,6.26
36,INTZ,25.63,28.03,9.36
37,ISUN,14.37,16.16,12.49
38,ITRM,1.66,1.77,6.41
39,JFU,1.93,2.06,7.21
40,KIRK,27.77,29.49,6.21
41,KMPH,10.39,12.13,16.74
42,LC,16.81,17.95,6.78
43,LFMD,19.02,20.23,6.34
44,MDLQ,3.13,3.49,11.68
45,MDLY,8.79,10.13,15.32
46,MSGM,23.47,24.89,6.04
47,NBRV,1.89,2.03,7.33
48,NM,8.38,9.08,8.32
49,NTN,3.94,4.38,11.1
50,NVOS,4.19,4.57,8.88
51,OCAXW,0.58,0.62,8.25
52,OCG,5.92,7.84,32.41
53,OPRX,48.84,53.45,9.43
54,OTRK,33.82,35.98,6.39
55,RAVE,1.73,1.86,7.08
56,RCON,3.23,3.48,7.47
57,RELI,5.03,5.37,6.63
58,RHE,5.84,6.21,6.17
59,RMBL,50.2,57.12,13.79
60,RUBY,26.0,32.37,24.48
61,RZLT,8.51,9.13,7.28
62,SI,153.66,163.61,6.48
63,SIF,13.62,14.45,6.14
64,SLGL,14.64,15.77,7.7
65,SSY,3.25,5.1,57.21
66,SXTC,2.13,2.34,10.24
67,SYPR,3.94,4.4,11.87
68,TENX,2.33,2.48,6.3
69,TIRX,77.21,87.99,13.95
70,TKAT,5.51,7.51,36.21
71,TTOO,1.88,2.01,6.95
72,UAN,33.39,36.08,8.03
73,URG,1.25,1.36,8.53
74,UUUU,6.6,7.24,9.68
75,VCVCU,12.53,13.31,6.26
76,VINO,4.31,4.72,9.42
77,VTNR,1.53,1.63,6.74
78,VVOS,7.35,7.89,7.21
79,ZDGE,11.9,13.2,10.96
80,ZGYHR,0.38,0.41,8.04
